"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (C)","Temp Flag","Dew Point Temp (C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 00:00","2020","03","01","00:00","-4.9",NA,"-9.6",NA,"70",NA,"0.0",NA,"26",NA,"21",NA,"16.1",NA,"101.02",NA,NA,NA,"-12",NA,NA
"2","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 01:00","2020","03","01","01:00","-5.4",NA,"-10.0",NA,"71",NA,"0.0",NA,"28",NA,"11",NA,"16.1",NA,"101.02",NA,NA,NA,"-10",NA,NA
"3","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 02:00","2020","03","01","02:00","-5.4",NA,"-9.3",NA,"74",NA,"0.0",NA,"29",NA,"11",NA,"16.1",NA,"101.04",NA,NA,NA,"-10",NA,NA
"4","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 03:00","2020","03","01","03:00","-5.4",NA,"-10.4",NA,"68",NA,"0.0",NA,"29",NA,"13",NA,"16.1",NA,"101.01",NA,NA,NA,"-11",NA,NA
"5","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 04:00","2020","03","01","04:00","-6.2",NA,"-10.6",NA,"71",NA,"0.0",NA,"28",NA,"13",NA,"16.1",NA,"101.04",NA,NA,NA,"-12",NA,NA
"6","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 05:00","2020","03","01","05:00","-6.2",NA,"-10.3",NA,"73",NA,"0.0",NA,"31",NA,"9",NA,"16.1",NA,"101.09",NA,NA,NA,"-10",NA,NA
"7","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 06:00","2020","03","01","06:00","-6.7",NA,"-10.4",NA,"75",NA,"0.0",NA,"31",NA,"9",NA,"16.1",NA,"101.12",NA,NA,NA,"-11",NA,NA
"8","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 07:00","2020","03","01","07:00","-7.0",NA,"-10.6",NA,"76",NA,"0.0",NA,"31",NA,"9",NA,"16.1",NA,"101.13",NA,NA,NA,"-11",NA,NA
"9","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 08:00","2020","03","01","08:00","-5.7",NA,"-9.6",NA,"74",NA,"0.0",NA,"28",NA,"8",NA,"16.1",NA,"101.16",NA,NA,NA,"-9",NA,NA
"10","TORONTO CITY CENTRE",48549,NA,"ON",43.63,-79.4,76.8,"6158359","71265","YTZ","-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 09:00","2020","03","01","09:00","-3.5",NA,"-8.9",NA,"66",NA,"0.0",NA,"29",NA,"5",NA,"16.1",NA,"101.15",NA,NA,NA,"-6",NA,NA
