"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (C)","Temp Flag","Dew Point Temp (C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"1","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 00:00","2020","03","01","00:00","-8.9",NA,"-12.4",NA,"76",NA,NA,NA,"20",NA,"12",NA,"24.1",NA,"99.79",NA,NA,NA,"-15",NA,NA
"2","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 01:00","2020","03","01","01:00","-8.7",NA,"-11.8",NA,"79",NA,NA,NA,"20",NA,"12",NA,"24.1",NA,"99.78",NA,NA,NA,"-14",NA,"Mainly Clear"
"3","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 02:00","2020","03","01","02:00","-9.2",NA,"-12.0",NA,"80",NA,NA,NA,"21",NA,"10",NA,"24.1",NA,"99.81",NA,NA,NA,"-14",NA,NA
"4","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 03:00","2020","03","01","03:00","-9.7",NA,"-12.8",NA,"78",NA,NA,NA,"24",NA,"4",NA,"24.1",NA,"99.78",NA,NA,NA,"-12",NA,NA
"5","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 04:00","2020","03","01","04:00","-9.2",NA,"-12.7",NA,"76",NA,NA,NA,"28",NA,"13",NA,"24.1",NA,"99.82",NA,NA,NA,"-15",NA,"Clear"
"6","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 05:00","2020","03","01","05:00","-9.1",NA,"-12.2",NA,"78",NA,NA,NA,"26",NA,"7",NA,"24.1",NA,"99.87",NA,NA,NA,"-13",NA,NA
"7","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 06:00","2020","03","01","06:00","-8.9",NA,"-12.1",NA,"78",NA,NA,NA,"27",NA,"4",NA,"24.1",NA,"99.90",NA,NA,NA,"-11",NA,NA
"8","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 07:00","2020","03","01","07:00","-8.9",NA,"-12.1",NA,"78",NA,NA,NA,"27",NA,"4",NA,"24.1",NA,"99.90",NA,NA,NA,"-11",NA,"Clear"
"9","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 08:00","2020","03","01","08:00","-8.3",NA,"-11.8",NA,"76",NA,NA,NA,"18",NA,"10",NA,"24.1",NA,"99.92",NA,NA,NA,"-13",NA,NA
"10","TORONTO INTL A",51459,NA,"ON",43.68,-79.63,173.4,"6158731","71624","YYZ","-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 09:00","2020","03","01","09:00","-5.1",NA,"-9.8",NA,"70",NA,NA,NA,"17",NA,"11",NA,"24.1",NA,"99.92",NA,NA,NA,"-10",NA,NA
